LU_ID,BMP,Land-Use,Sub Crop,ContouringTerracingIsOn,PerAcreORPerCell,TopographySlopes,StreamBorder,Year,Time of Year,Frequency,Time - Cost Type ,Action - Cost Type,Fixed/Variable,Cost Name,# Labor Hours, Value ,Context and/ or Calculations ,Description,Citation
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Tandem disk ,,-4.7,None when no-till active., n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Tandem disk ,,-3.5,None when no-till active., n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Apply nitrogen ,,1.27,//Kentucky comparison budgets show 28.79% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Apply nitrogen ,,1.3,//Kentucky comparison budgets show 28.79% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Spray ,,1.47,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Spray ,,1.33,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Nitrogen ,,11.31,"$0.30/lb * 131 lbs/acre
//Kentucky comparison budgets show 28.79% increase in operator labor for no-till", nitrogen price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Phosphate ,,-2.65,"$0.39/lb * 68 lbs/acre
//Kentucky comparison budgets show 10.00% reduction in operator labor for no-till", phosphate price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Herbicide ,,18.67,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, herbicide price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Herbicide ,,23.67,Increased usage. //Kentucky comparison budgets show 66.67% increase in operator labor for no-till, herbicide price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,8,Annual,Constant,Labor,Variable,Labor - Operator,-0.29,-4.09,2.25 hrs/acre * $14/hr *  12.99% savings   //Kentucky comparison budgets show 12.99% reduction in operator labor for no-till, labor wage ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Tandem disk ,,-4.7,None when no-till active., n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Tandem disk ,,-3.5,None when no-till active., n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Apply nitrogen ,,1.27,//Kentucky comparison budgets show 28.79% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Apply nitrogen ,,1.3,//Kentucky comparison budgets show 28.79% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Spray ,,1.47,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Spray ,,1.33,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Nitrogen ,,11.31,"$0.30/lb * 131 lbs/acre
//Kentucky comparison budgets show 28.79% increase in operator labor for no-till", nitrogen price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Phosphate ,,-2.65,"$0.39/lb * 68 lbs/acre
//Kentucky comparison budgets show 10.00% reduction in operator labor for no-till", phosphate price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Herbicide ,,18.67,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, herbicide price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Herbicide ,,23.67,Increased usage. //Kentucky comparison budgets show 66.67% increase in operator labor for no-till, herbicide price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,8,Annual,Constant,Labor,Fixed,Labor - Operator,-0.29,-4.09,2.25 hrs/acre * $14/hr *  12.99% savings   //Kentucky comparison budgets show 12.99% reduction in operator labor for no-till, labor wage ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Seed - Rye,,10,$10/acre,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,20,Annual,Preharvest,Custom ,Variable,"Labor - seeding or drilling, custom rate",,15,,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,20,Annual,Preharvest,Labor,Variable,Operator labor for seeding or drilling,0.12,1.44,"3 hours per 25 acres, $12/hr",Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Additional herbicide to kill cereal rye cover crop,,5,,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Applying herbicide to rye cover crop - VARIABLE COST to operator,,7,,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,7,Annual,Preharvest,Labor,Variable,Operator labor - applying herbicide,0.08,24,2 hours * $12/hr,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,,Annual,Other,Other,Variable,Miscellanous other costs,,5,$5 miscellaneous costs for cover crops per acre,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
